Containment_zones,ward,no,pin,address
"ME 427 400074 Mahakali Society,Bharat Kunj,Shahtri Nagar,Shashtri Nagar,Chembur",ME,427,400074,"Mahakali Society,Bharat Kunj,Shahtri Nagar,Shashtri Nagar,Chembur"
"ME 428 400074 Rahul Nagar,Aurangabad Chawl,Buddha Vihar,Rahul Nagar,Chembur",ME,428,400074,"Rahul Nagar,Aurangabad Chawl,Buddha Vihar,Rahul Nagar,Chembur"
"ME 429 400074 Shivaji Nagar,Lince C,Vashi Naka,Shivaji Nagar,Chembur",ME,429,400074,"Shivaji Nagar,Lince C,Vashi Naka,Shivaji Nagar,Chembur"
"ME 430 400074 Azad Nagar,Ayodyanagar,Aziz Baug Road,Azad Nagar,Chembur",ME,430,400074,"Azad Nagar,Ayodyanagar,Aziz Baug Road,Azad Nagar,Chembur"
"ME 431 400074 Sahyadri Nagar,B Near Model High School,Rcf Colony,Sahyadri Nagar,Chembur",ME,431,400074,"Sahyadri Nagar,B Near Model High School,Rcf Colony,Sahyadri Nagar,Chembur"
"ME 432 400074 Behind Shani Mandir Cama Wadi Dinquary Road Panjrapol Chembur,,,Chembur",ME,432,400074,"Behind Shani Mandir Cama Wadi Dinquary Road Panjrapol Chembur,,,Chembur"
"ME 433 400074 Prayag Nagar Society,L A Gadkari Marg,,Chembur",ME,433,400074,"Prayag Nagar Society,L A Gadkari Marg,,Chembur"
"ME 434 400088 D Line,Mangrooves,C Sector,Mankhurd",ME,434,400088,"D Line,Mangrooves,C Sector,Mankhurd"
"ME 435 400088 E,E1,D1,F,B Line,Market Road,D Sector Cheetacamp,Mankhurd",ME,435,400088,"E,E1,D1,F,B Line,Market Road,D Sector Cheetacamp,Mankhurd"
"ME 436 400088 K1,K2 Line,Balaji Mandir Road,G Sector Cheetacamp,Mankhurd",ME,436,400088,"K1,K2 Line,Balaji Mandir Road,G Sector Cheetacamp,Mankhurd"
"ME 437 400088 L Line,Shiv Mandir Road,J Sector Cheetacamp,Mankhurd",ME,437,400088,"L Line,Shiv Mandir Road,J Sector Cheetacamp,Mankhurd"
"ME 438 400088 F Line,School Road,K Sector Cheetacamp,Mankhurd",ME,438,400088,"F Line,School Road,K Sector Cheetacamp,Mankhurd"
"ME 439 400088 Kapoor Chawl Waghmare Chawl, Azad Nagar,Tata Compound,Payalipada,Mankhurd",ME,439,400088,"Kapoor Chawl Waghmare Chawl, Azad Nagar,Tata Compound,Payalipada,Mankhurd"
"ME 440 400088 Merry Cottage,Borbadevi Mandir,N G Acharya Marg,Govandi,Govandi",ME,440,400088,"Merry Cottage,Borbadevi Mandir,N G Acharya Marg,Govandi,Govandi"
"ME 441 400088 Sai Krupa Chawl,Near Padua High School,Church Road,Mankhurd Goan,Mankhurd",ME,441,400088,"Sai Krupa Chawl,Near Padua High School,Church Road,Mankhurd Goan,Mankhurd"
"ME 442 400088 Triveni Eahivashi Sangh,Samrat Ashok Nagar,Shiv Mandir Marg,Samrat Ashok Nagar,Mankhurd",ME,442,400088,"Triveni Eahivashi Sangh,Samrat Ashok Nagar,Shiv Mandir Marg,Samrat Ashok Nagar,Mankhurd"
"ME 443 400088 Bharat Nagar,Valmiki Madir,Sion Panvel Road,Mankhurd Stn,Mankhurd",ME,443,400088,"Bharat Nagar,Valmiki Madir,Sion Panvel Road,Mankhurd Stn,Mankhurd"
"ME 444 400088 Mahatama Phule Nagar,Mankhurd Railway Stn Road,,Phule Nagar,Mankhurd",ME,444,400088,"Mahatama Phule Nagar,Mankhurd Railway Stn Road,,Phule Nagar,Mankhurd"
"ME 445 400088 E Sec,K 1 Line,Mgr Road,E Sec,Cheetacamp",ME,445,400088,"E Sec,K 1 Line,Mgr Road,E Sec,Cheetacamp"
"ME 446 400088 A Sec,D Line,Near Start Hotel,A Sec,Cheetacamp",ME,446,400088,"A Sec,D Line,Near Start Hotel,A Sec,Cheetacamp"
"ME 447 400088 Navnath Seva Sangh,Cheetacamp Rd,Navnath Seva Sangh,Mankhurd",ME,447,400088,"Navnath Seva Sangh,Cheetacamp Rd,Navnath Seva Sangh,Mankhurd"
"ME 448 400088 Mohite Patil Nagar,Gmlrroad,,Mankhurd",ME,448,400088,"Mohite Patil Nagar,Gmlrroad,,Mankhurd"
"ME 449 400094 Patt Nagar Dhobhi Ghat,,,Trombay",ME,449,400094,"Patt Nagar Dhobhi Ghat,,,Trombay Jay Bhole Nagar,Dinquarry Road,Panajarapol,Panjarapol,Chembur"
"MW 451 400071 R C Barrack,Inlaks Hospital,Near Lal Mithi Garden,Indira Nagar, Old Chembur Camp, Old Barrack, Shivshakti Nagar, Collector Colony,Samrat Ashok, C G Marg, R C Marg,",MW,451,400071,"R C Barrack,Inlaks Hospital,Near Lal Mithi Garden,Indira Nagar, Old Chembur Camp, Old Barrack, Shivshakti Nagar, Collector Colony,Samrat Ashok, C G Marg, R C Marg,"
"MW 452 400071 Vatsalatai Nagar,Kurla Signal,Nr. Kurla Signal,Chembur",MW,452,400071,"Vatsalatai Nagar,Kurla Signal,Nr. Kurla Signal,Chembur"
"MW 453 400071 Subhedar Ambedkar,Lal Dongar, Near Bmc School, Dr. Ambedkar Chawl, Samarth Nagar,Near Sion Trombay Road,Suman Nagar, Lal Dongar,Chembur",MW,453,400071,"Subhedar Ambedkar,Lal Dongar, Near Bmc School, Dr. Ambedkar Chawl, Samarth Nagar,Near Sion Trombay Road,Suman Nagar, Lal Dongar,Chembur"
"MW 454 400071 Shramjivi Nagar, Saibaba Nagar, Adarsh Nagar, Shell Colony, Yashomati, Shell Colony,Shell Colony, Service Road,Thakker Bhappa Colony,Chembur",MW,454,400071,"Shramjivi Nagar, Saibaba Nagar, Adarsh Nagar, Shell Colony, Yashomati, Shell Colony,Shell Colony, Service Road,Thakker Bhappa Colony,Chembur"
"MW 455 400071 Siddharth Colony,Kn Gaikwad Marg,Near Chemburnaka,Chembur",MW,455,400071,"Siddharth Colony,Kn Gaikwad Marg,Near Chemburnaka,Chembur"
"MW 456 400071 Mumbadevi,Ahilyabai Holkar Ghatla Municipal Colony, Shramik Kamgar, Sambhaji Nagar -1,Khardeo Nagar,. 1 To 9 Anand Nagar,N G Acharya Marg, Govandi",MW,456,400071,"Mumbadevi,Ahilyabai Holkar Ghatla Municipal Colony, Shramik Kamgar, Sambhaji Nagar -1,Khardeo Nagar,. 1 To 9 Anand Nagar,N G Acharya Marg, Govandi"
"MW 457 400071 Mahadev Patil, Harikishan Sadan, Kamla Kishan Patil, M.S. Patil Wadi, Arvind Patil Wadi, Nagesh Patil Wadi, Khardeo Nagar,Ghatla Village,Khardeo Nagar",MW,457,400071,"Mahadev Patil, Harikishan Sadan, Kamla Kishan Patil, M.S. Patil Wadi, Arvind Patil Wadi, Nagesh Patil Wadi, Khardeo Nagar,Ghatla Village,Khardeo Nagar"
"MW 458 400071 Panchsheel Nagar,Tilak Nagar Road No. 3,Near Jai Ambe Kirana Stores,Chembur",MW,458,400071,"Panchsheel Nagar,Tilak Nagar Road No. 3,Near Jai Ambe Kirana Stores,Chembur"
"MW 459 400071 Jai Ambe Ngr., Behind Raga Building,Eastern Express Highway,Opp Postal Colony,Chembur",MW,459,400071,"Jai Ambe Ngr., Behind Raga Building,Eastern Express Highway,Opp Postal Colony,Chembur"
"MW 460 400074 Islampura, Laxmi Nagar,Mukund Nagar, Vashi Naka, Mahul Road Near Railway Track, Mahul & H P Nagar Mysore Colony & S V Patel Nagar, Vashi Naka & Shivshakti Nagar,",MW,460,400074,"Islampura, Laxmi Nagar,Mukund Nagar, Vashi Naka, Mahul Road Near Railway Track, Mahul & H P Nagar Mysore Colony & S V Patel Nagar, Vashi Naka & Shivshakti Nagar,"
"MW 461 400089 Mukund Nagar,Sukhshanti Chawl, Utkarsh Nagar, Balaji Chawl, Nagewadi,Kadariya Nagar, Dinbandhu Chawl,Siddharth, Sambhaji Nagar Near Hanuman Mandi,P.Y.Thorat",MW,461,400089,"Mukund Nagar,Sukhshanti Chawl, Utkarsh Nagar, Balaji Chawl, Nagewadi,Kadariya Nagar, Dinbandhu Chawl,Siddharth, Sambhaji Nagar Near Hanuman Mandi,P.Y.Thorat"
"MW 462 400089 Mahatma Phule Nagar, Barve Chawl, Ramabai Colony,Satyam Galli,Vajir Baba Chawl,Raul Galli,, Navchintan Buddh Vihar, New Panjabi Chawl,Jagtap Chawl, Sathe",MW,462,400089,"Mahatma Phule Nagar, Barve Chawl, Ramabai Colony,Satyam Galli,Vajir Baba Chawl,Raul Galli,, Navchintan Buddh Vihar, New Panjabi Chawl,Jagtap Chawl, Sathe"
"MW 463 400089 Pestom Sagar,Road No.4,,Near Sawaswati Dugdhalay, Opp. Krishna Pan Bidi Shop,,Chembur",MW,463,400089,"Pestom Sagar,Road No.4,,Near Sawaswati Dugdhalay, Opp. Krishna Pan Bidi Shop,,Chembur"
"N 464 400075 Savitribai Phule Nagar, Ambedkar Nagar, Gurunanak Nagar. Naidu Colony,,Ghatkopkar (East)",N,464,400075,"Savitribai Phule Nagar, Ambedkar Nagar, Gurunanak Nagar. Naidu Colony,,Ghatkopkar (East)"
"N 465 400075 Rajaram Bane Marg,,Laxmi Nagar, Ganesh Nagar, Ghatkopar (E)",N,465,400075,"Rajaram Bane Marg,,Laxmi Nagar, Ganesh Nagar, Ghatkopar (E)"
"N 466 400077 ,Kamraj Nagar & Ramabai Nagar,Ghatkopar (E)",N,466,400077,",Kamraj Nagar & Ramabai Nagar,Ghatkopar (E)"
"N 467 400077 ,Kamraj Nagar,Ghatkopar (E)",N,467,400077,",Kamraj Nagar,Ghatkopar (E)"
"N 468 400077 ,Laxmi Nivas Society, Patel Chowk,Ghatkopar (E)",N,468,400077,",Laxmi Nivas Society, Patel Chowk,Ghatkopar (E)"
"N 469 400079 Vikhroli Park Site, Varsha Nagar,,Vikhroli (W)",N,469,400079,"Vikhroli Park Site, Varsha Nagar,,Vikhroli (W)"
"N 470 400079 ,Varsha Nagar Road,Vikhroli (W)",N,470,400079,",Varsha Nagar Road,Vikhroli (W)"
"N 471 400079 Vikhroli Village,Vikhroli Gaonthan,Vikhroli (E)",N,471,400079,"Vikhroli Village,Vikhroli Gaonthan,Vikhroli (E)"
"N 472 400084 Bhim Nagar Road,,Bhim Nagar, Kathodipada, Dayasagar, Ghatkopar (W)",N,472,400084,"Bhim Nagar Road,,Bhim Nagar, Kathodipada, Dayasagar, Ghatkopar (W)"
"N 473 400086 ,Nityanand Nagar, Gautam Nagar,Ghatkopar (W)",N,473,400086,",Nityanand Nagar, Gautam Nagar,Ghatkopar (W)"
"N 474 400086 ,,Kirol Gaon, Vidyavuhar (W)",N,474,400086,",,Kirol Gaon, Vidyavuhar (W)"
"N 475 400086 Chota Bhim Nagar,Lbs Road,Opp. Bikaner,Ghatkopar W",N,475,400086,"Chota Bhim Nagar,Lbs Road,Opp. Bikaner,Ghatkopar W"
"N 476 400086 ,Barve Nagar, Ramji Nagar, Bhatwadi,Ghatkopar (W)",N,476,400086,",Barve Nagar, Ramji Nagar, Bhatwadi,Ghatkopar (W)"
"N 477 400086 Azad Nagar, Chirag Nagar, Parshiwadi,,Ghatkopar (W)",N,477,400086,"Azad Nagar, Chirag Nagar, Parshiwadi,,Ghatkopar (W)"
"N 478 400086 Indira Nagar, Altaf Nagar,Gavdevi Road, Sainath Nagar Road,Ghatkop[Ar (W)",N,478,400086,"Indira Nagar, Altaf Nagar,Gavdevi Road, Sainath Nagar Road,Ghatkop[Ar (W)"
"N 479 400086 ,Rajawadi Pipeline,Vidyavihar (E)",N,479,400086,",Rajawadi Pipeline,Vidyavihar (E)"
"PN 480 400063 Jai Bhim Nagar,Dindoshi,,Goregaon East",PN,480,400063,"Jai Bhim Nagar,Dindoshi,,Goregaon East"
"PN 481 400063 Santosh Nagar,Dindoshi,,Goregaon East",PN,481,400063,"Santosh Nagar,Dindoshi,,Goregaon East"
"PN 482 400064 Mota Pada,Near Mittal College,,Malad West",PN,482,400064,"Mota Pada,Near Mittal College,,Malad West"
"PN 483 400064 Valnai Colony,Near Link Road,,Malad West",PN,483,400064,"Valnai Colony,Near Link Road,,Malad West"
"PN 484 400064 Kanchpada No 1,Ramchandra Lane,,Malad West",PN,484,400064,"Kanchpada No 1,Ramchandra Lane,,Malad West"
"PN 485 400064 Somwar Bazar,,,Malad West",PN,485,400064,"Somwar Bazar,,,Malad West"
"PN 486 400064 Bhadran Nagar,S V Road,,Malad West",PN,486,400064,"Bhadran Nagar,S V Road,,Malad West"
"PN 487 400095 Old Collector Compound,Malvani,,Malad West",PN,487,400095,"Old Collector Compound,Malvani,,Malad West"
"PN 488 400095 Azmi Nagar,Malwani Gate No 7,,Malad West",PN,488,400095,"Azmi Nagar,Malwani Gate No 7,,Malad West"
"PN 489 400095 New Collector Compound,Malvani,,Malad West",PN,489,400095,"New Collector Compound,Malvani,,Malad West"
"PN 490 400095 Malwani Church,Near Shriram Mandir,,Malad West",PN,490,400095,"Malwani Church,Near Shriram Mandir,,Malad West"
"PN 491 400095 Bmc Colony Gate No 5,Malwani,,Malad West",PN,491,400095,"Bmc Colony Gate No 5,Malwani,,Malad West"
"PN 492 400095 Daruwala Compound,S V Road,,Malad West",PN,492,400095,"Daruwala Compound,S V Road,,Malad West"
"PN 493 400095 Ambujwadi,,,Malad West",PN,493,400095,"Ambujwadi,,,Malad West"
"PN 494 400095 Rathodi / Kharodi,,,Malad West",PN,494,400095,"Rathodi / Kharodi,,,Malad West"
"PN 495 400095 Madh,,,Malad West",PN,495,400095,"Madh,,,Malad West"
"PN 496 400095 Mhb Colony,,,Malad West",PN,496,400095,"Mhb Colony,,,Malad West"
"PN 497 400097 Makrani Pada,Rani Sati Marg,,Malad East",PN,497,400097,"Makrani Pada,Rani Sati Marg,,Malad East"
"PN 498 400097 Hanuman Nagar,Kurar,,Malad East",PN,498,400097,"Hanuman Nagar,Kurar,,Malad East"
"PN 499 400097 Kranti Nagar,Kurar,,Malad East",PN,499,400097,"Kranti Nagar,Kurar,,Malad East"
"PN 500 400097 Indira Nagar,Rani Sati Marg,,Malad East",PN,500,400097,"Indira Nagar,Rani Sati Marg,,Malad East"
"PN 501 400097 Pathanwadi,,,Malad East",PN,501,400097,"Pathanwadi,,,Malad East"
"PN 502 400097 Ambewadi,Daftari Road,,Malad East",PN,502,400097,"Ambewadi,Daftari Road,,Malad East"
"PN 503 400097 Kokni Pada - Shivaji Nagar,Kurar,,Malad East",PN,503,400097,"Kokni Pada - Shivaji Nagar,Kurar,,Malad East"
"PN 504 400097 Tanaji Nagar,Dhobighat Kurar,,Malad East",PN,504,400097,"Tanaji Nagar,Dhobighat Kurar,,Malad East"
"PN 505 400097 Bacchani Nagar,,,Malad East",PN,505,400097,"Bacchani Nagar,,,Malad East"
"PN 506 400097 Pushpa Park,,,Malad East",PN,506,400097,"Pushpa Park,,,Malad East"
"PN 507 400097 Dhanji Wadi,,,Malad East",PN,507,400097,"Dhanji Wadi,,,Malad East"
"PN 508 400097 Khadakpada,,,Malad East",PN,508,400097,"Khadakpada,,,Malad East"
"PN 509 400097 Pimpripada,,,Malad East",PN,509,400097,"Pimpripada,,,Malad East"
"PN 510 400101 Gokul Nagar,,,Kandivali East",PN,510,400101,"Gokul Nagar,,,Kandivali East"
"PN 511 400101 Apppa Pada,,,Kandivali East",PN,511,400101,"Apppa Pada,,,Kandivali East Prem Nagar,Vishwkarma Road,Prem Nagar,Goregaon West"
"PS 514 400063 Vitbhatti,Hanuman Tekdi,Goregaon - Mulund Link Road,Vitbhatti,Goregaon East",PS,514,400063,"Vitbhatti,Hanuman Tekdi,Goregaon - Mulund Link Road,Vitbhatti,Goregaon East"
"PS 515 400063 Room No. 3, Lakhau Letha Chawl,Ram Mandir Road,Ramnagar, Bandrekarwadi,Jogeshwari East",PS,515,400063,"Room No. 3, Lakhau Letha Chawl,Ram Mandir Road,Ramnagar, Bandrekarwadi,Jogeshwari East"
"PS 516 400063 D 34,Cama Industrial Estate,Walbhat Road,Goregaon East",PS,516,400063,"D 34,Cama Industrial Estate,Walbhat Road,Goregaon East"
"PS 517 400063 Room No 2,Satyanarayan Hansraj Singh Chawl No 3,Ghas Bazar Ram Nagar,Goregaon East",PS,517,400063,"Room No 2,Satyanarayan Hansraj Singh Chawl No 3,Ghas Bazar Ram Nagar,Goregaon East"
"PS 518 400063 Room No 10,Harishankar Mishra Chawl,Gogtewadi,Goregaon East",PS,518,400063,"Room No 10,Harishankar Mishra Chawl,Gogtewadi,Goregaon East"
"PS 519 400064 Shankar Nagar, Vasari Hill,Near Rustomji Tower,Vasari Hill,Goregaon West",PS,519,400064,"Shankar Nagar, Vasari Hill,Near Rustomji Tower,Vasari Hill,Goregaon West"
"PS 520 400064 Shiv Tekdi,Yashwant Nagar Road,Teen Dongri,Goregaon West",PS,520,400064,"Shiv Tekdi,Yashwant Nagar Road,Teen Dongri,Goregaon West"
"PS 521 400065 Unit No. 22,Aarey Milk Colony,Unit No. 22,Goregaon East",PS,521,400065,"Unit No. 22,Aarey Milk Colony,Unit No. 22,Goregaon East"
"PS 522 400065 Adarsh Nagar, Old Hill Quarter,Aarey Milk Colony,Adarsh Nagar,Goregaon East",PS,522,400065,"Adarsh Nagar, Old Hill Quarter,Aarey Milk Colony,Adarsh Nagar,Goregaon East"
"PS 523 400065 Squartters Colony,Chincholi Gate,Near Little Merry High School,Goregaon East",PS,523,400065,"Squartters Colony,Chincholi Gate,Near Little Merry High School,Goregaon East"
"PS 524 400065 Unit No.30,Aarey Colony,Unit No.30,Goregaon East",PS,524,400065,"Unit No.30,Aarey Colony,Unit No.30,Goregaon East"
"PS 525 400065 Kirti Nagar, Aarey Colony,,Near Modren Bakery,Goregoan East",PS,525,400065,"Kirti Nagar, Aarey Colony,,Near Modren Bakery,Goregoan East"
"PS 526 400065 Unit No 29,Aarey Colony,Krishna Nagar,Goregoan East",PS,526,400065,"Unit No 29,Aarey Colony,Krishna Nagar,Goregoan East"
"PS 527 400065 Unit No 13,Aarey Colony,,Goregoan East",PS,527,400065,"Unit No 13,Aarey Colony,,Goregoan East"
"PS 528 400065 Unit 7,Aarey Milk Colony,Shivshakti Nagar,Goregaon East",PS,528,400065,"Unit 7,Aarey Milk Colony,Shivshakti Nagar,Goregaon East"
"PS 529 400065 Unit No-13,Balaji Nagar,Aarey Milk Colony,Goregaon East",PS,529,400065,"Unit No-13,Balaji Nagar,Aarey Milk Colony,Goregaon East"
"PS 530 400065 Unit No 32,Aarey Milk Colony,Near Chota Kashmir,Goregaon East",PS,530,400065,"Unit No 32,Aarey Milk Colony,Near Chota Kashmir,Goregaon East"
"PS 531 400065 Unit No 031,Aarey Road,Opp Indira Gandhi Research Centre Aarey Milk Colony,Goregoan East",PS,531,400065,"Unit No 031,Aarey Road,Opp Indira Gandhi Research Centre Aarey Milk Colony,Goregoan East"
"PS 532 400065 Sarvodyanagar Zopadpatti,Aarey Milk Colony Road,Dindoshi,Goregaon East",PS,532,400065,"Sarvodyanagar Zopadpatti,Aarey Milk Colony Road,Dindoshi,Goregaon East"
"PS 533 400065 Sarvaday Nagar Vijay Patil Chawl, Aarey Milk Colony Rd, W.Exp Highway, Goregaon E,Vijay Patil Chawl,Aarey Milk Colony,Goregaon East",PS,533,400065,"Sarvaday Nagar Vijay Patil Chawl, Aarey Milk Colony Rd, W.Exp Highway, Goregaon E,Vijay Patil Chawl,Aarey Milk Colony,Goregaon East"
"PS 534 400065 Westa Patel Chawl,Aarey Road,Nawpada,Goregaon East",PS,534,400065,"Westa Patel Chawl,Aarey Road,Nawpada,Goregaon East"
"PS 535 400065 Unit No -6 Nava Pada,Aarey Road,Nawpada,Goregaon East",PS,535,400065,"Unit No -6 Nava Pada,Aarey Road,Nawpada,Goregaon East"
"PS 536 400097 Gokuldham, Classic Hotel,Gokul Dham,Arunkumar Vaidya Marg,Kanyapada,Malad East",PS,536,400097,"Gokuldham, Classic Hotel,Gokul Dham,Arunkumar Vaidya Marg,Kanyapada,Malad East"
"PS 537 400104 Bhagat Singh Nagar No. 1,Link Road,Bhagat Singh Nagar No. 1,Goregaon West",PS,537,400104,"Bhagat Singh Nagar No. 1,Link Road,Bhagat Singh Nagar No. 1,Goregaon West"
"PS 538 400104 Bhagat Singh Nagar No. 2, Tambe Gully,Link Road,Bhagat Singh Nagar No. 2,Goregaon West",PS,538,400104,"Bhagat Singh Nagar No. 2, Tambe Gully,Link Road,Bhagat Singh Nagar No. 2,Goregaon West"
"PS 539 400104 Laxmi Nagar,Link Road,Laxminagar,Goregaon West",PS,539,400104,"Laxmi Nagar,Link Road,Laxminagar,Goregaon West"
"PS 540 400104 Gandhi Chawl, Behind Ganesh Mandir, Gandhi Chawl,S.V Road,Near Nala,Goregaon West",PS,540,400104,"Gandhi Chawl, Behind Ganesh Mandir, Gandhi Chawl,S.V Road,Near Nala,Goregaon West"
"RC 541 400066 Raidongri,Raidongri,Weh,Borivali East",RC,541,400066,"Raidongri,Raidongri,Weh,Borivali East"
"RC 542 400066 Kajupada,Rikshaw Stand Road,Ganesh Cowk,Borivali East",RC,542,400066,"Kajupada,Rikshaw Stand Road,Ganesh Cowk,Borivali East"
"RC 543 400066 Jai Jawan,Fci Godown Rd,Nr Masjid,Borivali East",RC,543,400066,"Jai Jawan,Fci Godown Rd,Nr Masjid,Borivali East"
"RC 544 400066 Dadasaheb Chawl,Dattapada Rd,Rupwate Nagar,Borivali East",RC,544,400066,"Dadasaheb Chawl,Dattapada Rd,Rupwate Nagar,Borivali East"
"RC 545 400066 Kulup Wadi,Kulup Wadi,Kulup Wadi,Borivali East",RC,545,400066,"Kulup Wadi,Kulup Wadi,Kulup Wadi,Borivali East"
"RC 546 400066 Daulat Nagar,S V Road,Neharu Nagar,Borivali East",RC,546,400066,"Daulat Nagar,S V Road,Neharu Nagar,Borivali East"
"RC 547 400066 Sukurwadi,Sukurwadi,Bus Depot Sukurwadi,Borivali East",RC,547,400066,"Sukurwadi,Sukurwadi,Bus Depot Sukurwadi,Borivali East"
"RC 548 400092 Patil House,Eksar Rd,Talepakhadi,Borivali West",RC,548,400092,"Patil House,Eksar Rd,Talepakhadi,Borivali West"
"RC 549 400092 Saiprasad Chawl,Shimpoli Road,Atal Smruti Uddyan,Borivali West",RC,549,400092,"Saiprasad Chawl,Shimpoli Road,Atal Smruti Uddyan,Borivali West"
"RC 550 400092 Ratnabai Chawl,Borsapada Road,Op. Borsapada Ho,Borivali West",RC,550,400092,"Ratnabai Chawl,Borsapada Road,Op. Borsapada Ho,Borivali West"
"RC 551 400092 Ek Dongri Chawl,Eksar Road,Gandhi Nagar,Borivali West",RC,551,400092,"Ek Dongri Chawl,Eksar Road,Gandhi Nagar,Borivali West"
"RC 552 400092 New Adarsh Society,Gorai Road,Bhim Nagar,Borivali West",RC,552,400092,"New Adarsh Society,Gorai Road,Bhim Nagar,Borivali West"
"RN 553 400066 5,Babu Maruti Chawl 2,Babu Maruti Chawl 2,Borivali East",RN,553,400066,"5,Babu Maruti Chawl 2,Babu Maruti Chawl 2,Borivali East"
"RN 554 400068 Valmiki Chawl And Nearby Chawl,Dn Dubey Rd,Ambawadi,Dahisar East",RN,554,400068,"Valmiki Chawl And Nearby Chawl,Dn Dubey Rd,Ambawadi,Dahisar East"
"RN 555 400068 Padwal And Ramchandra Gurav Chawl,Babu Pednekar Road,Ketkipada,Dahisar East",RN,555,400068,"Padwal And Ramchandra Gurav Chawl,Babu Pednekar Road,Ketkipada,Dahisar East"
"RN 556 400068 Sainath Chawl,,Shiv Tekdi,Dahisar East",RN,556,400068,"Sainath Chawl,,Shiv Tekdi,Dahisar East"
"RN 557 400068 Shiv Shankar Chawl And Durgabai Dixit Chawl,Shiv Vallabh Road,Hanuman Tekdi,Dahisar East",RN,557,400068,"Shiv Shankar Chawl And Durgabai Dixit Chawl,Shiv Vallabh Road,Hanuman Tekdi,Dahisar East"
"RN 558 400068 Jai Ganesh Rahivasi Sangh And Jai Bhavani,S.N. Dubey Road,Kokanipada,Dahisar East",RN,558,400068,"Jai Ganesh Rahivasi Sangh And Jai Bhavani,S.N. Dubey Road,Kokanipada,Dahisar East"
"RN 559 400068 Khan Compound,S.N. Dubey Road,Rawalpada,Dahisar East",RN,559,400068,"Khan Compound,S.N. Dubey Road,Rawalpada,Dahisar East"
"RN 560 400068 Vishwakarma Chawl,,Shanti Nagar Dongri,Dahisar East",RN,560,400068,"Vishwakarma Chawl,,Shanti Nagar Dongri,Dahisar East"
"RN 561 400068 Topiwala Chawl,,Santosh Nagar,Dahisar East",RN,561,400068,"Topiwala Chawl,,Santosh Nagar,Dahisar East"
"RN 562 400068 Sadguru Chawl,,Ketakipada,Dahisar East",RN,562,400068,"Sadguru Chawl,,Ketakipada,Dahisar East"
"RN 563 400068 Shankar Tumbade,S.N.Dubey Road,Kokanipada,Dahisar East",RN,563,400068,"Shankar Tumbade,S.N.Dubey Road,Kokanipada,Dahisar East"
"RN 564 400068 Balkawde Compound,,Kajupada,Dahisar East",RN,564,400068,"Balkawde Compound,,Kajupada,Dahisar East"
"RN 565 400068 Mulla Hawaldar Chawl,,Kokanipada,Dahisar East",RN,565,400068,"Mulla Hawaldar Chawl,,Kokanipada,Dahisar East"
"RN 566 400068 Babli Pada,C S Road No-3,,Behind Ganpati Mandir,Dahisar East",RN,566,400068,"Babli Pada,C S Road No-3,,Behind Ganpati Mandir,Dahisar East"
"RN 567 400068 Nasir Ali Chawl,,Rajesh Compound,Dahisar East",RN,567,400068,"Nasir Ali Chawl,,Rajesh Compound,Dahisar East"
"RN 568 400068 Damodar Barfe Chawl, Gharatan Pada No-2,Service Road,Nr Raj Nagar, Ghartan Pada No-2,Dahisar East",RN,568,400068,"Damodar Barfe Chawl, Gharatan Pada No-2,Service Road,Nr Raj Nagar, Ghartan Pada No-2,Dahisar East"
"RN 569 400068 Dada Pandey & Sham Rati Yadav Chawl,,Opp Awadh Vidyalay,Ketaki Pada Dharkhadi,Dahisar East",RN,569,400068,"Dada Pandey & Sham Rati Yadav Chawl,,Opp Awadh Vidyalay,Ketaki Pada Dharkhadi,Dahisar East"
"RN 570 400068 Vishnu Naik Chawl,,Ovaripada,Dahisar East",RN,570,400068,"Vishnu Naik Chawl,,Ovaripada,Dahisar East"
"RN 571 400068 Ganesh Chawl,Near N.G.Park Bldg No-4,Kokani Pada,Dahisar East",RN,571,400068,"Ganesh Chawl,Near N.G.Park Bldg No-4,Kokani Pada,Dahisar East"
"RN 572 400068 Pant Nagar,,Kokani Pada,Dahisar East",RN,572,400068,"Pant Nagar,,Kokani Pada,Dahisar East"
"RN 573 400068 Sadguru Society,Sant Muktabai Road,Rawalpada, Nr Varad Vinayak Mandir,Dahisar East",RN,573,400068,"Sadguru Society,Sant Muktabai Road,Rawalpada, Nr Varad Vinayak Mandir,Dahisar East"
"RN 574 400068 Gurukripa Chawl,,Nr Ng Park, Kailas Nagar,Dahisar East",RN,574,400068,"Gurukripa Chawl,,Nr Ng Park, Kailas Nagar,Dahisar East"
"RN 575 400068 Saikrupa Chawl,,,Ghartanpada Road No.2, Suyog Nagar,East",RN,575,400068,"Saikrupa Chawl,,,Ghartanpada Road No.2, Suyog Nagar,East"
"RN 576 400068 Sainath Rahivasi Sangh,,Rawalpada,Dahisar East",RN,576,400068,"Sainath Rahivasi Sangh,,Rawalpada,Dahisar East"
"RN 577 400068 Amarnath Mahadeo Chawl,Sv Road,Nr Amba Wadi Police Chowki,Dahisar East",RN,577,400068,"Amarnath Mahadeo Chawl,Sv Road,Nr Amba Wadi Police Chowki,Dahisar East"
"RN 578 400068 Chawl No. A-1,Sant Kabir Marg,Nr Shani Mandir,Radhakrishna Nagar,Dahisar East",RN,578,400068,"Chawl No. A-1,Sant Kabir Marg,Nr Shani Mandir,Radhakrishna Nagar,Dahisar East"
